beta12,beta13,beta23,alpha,T1,T_Phi,T_alpha,certified_band_fraction,T_Phi_over_T_alpha,x1*,x2*,x3*
0.0158489319246,0.1,1.58489319246,0.7,2.8935565381,341.725154871,4566.93106639,0.0742394420734,0.0748259936276,0.353767725171,0.324040473745,0.322191801084
0.0158489319246,0.1,2.51188643151,0.7,4.10878372779,485.241859707,4802.56051313,0.100268399707,0.101038156288,0.364538323863,0.318651112849,0.316810563288
0.0158489319246,0.1,3.98107170553,0.7,5.94083404683,701.60455066,5162.80217629,0.134900605319,0.135896074787,0.379730372866,0.31104801299,0.309221614145
0.0158489319246,0.1,6.3095734448,0.7,8.72615581232,1030.54732373,5707.79421961,0.179296186057,0.180550889552,0.400283646229,0.300759482348,0.298956871422
0.0158489319246,0.1,10,0.7,12.9916847071,1534.3005779,6524.17087473,0.233645680574,0.235171734058,0.426803500358,0.287480642478,0.285715857164
0.0158489319246,0.1,15.8489319246,0.7,19.5646275815,2310.55633518,7737.87421909,0.296825578248,0.298603501395,0.459352366181,0.271178152921,0.269469480897
0.0158489319246,0.1,25.1188643151,0.7,29.746035755,3512.96701528,9535.14270043,0.366446672602,0.368423119155,0.497366919598,0.252132278656,0.250500801746
0.0158489319246,0.1,39.8107170553,0.7,45.5853685208,5383.57101807,12196.3937666,0.439311153188,0.441406789668,0.539725255749,0.230903831432,0.229370912818
0.0158489319246,0.1,63.095734448,0.7,70.3149776771,8304.10476523,16149.9013424,0.512064775847,0.51418919467,0.584920920802,0.208247306215,0.206831772984
0.0158489319246,0.1,100,0.7,109.03787651,12877.2272968,22056.0791054,0.581772699434,0.583840275295,0.631279572468,0.185002297079,0.183718130454
0.0158489319246,0.158489319246,0.158489319246,0.7,0.85028110236,100.417060307,4204.36027717,0.0236865808094,0.0238840284103,0.334379407734,0.334379407734,0.331241184532
0.0158489319246,0.158489319246,0.251188643151,0.7,1.05100827294,124.122670531,4229.68556292,0.0291043505102,0.0293456023348,0.335717762709,0.333709789835,0.330572447457
0.0158489319246,0.158489319246,0.398107170553,0.7,1.3339258017,157.534852065,4269.60798807,0.036595805233,0.0368967953277,0.33780537732,0.332665247567,0.329529375114
0.0158489319246,0.158489319246,0.63095734448,0.7,1.73798857441,205.254124789,4332.3595379,0.0469946712953,0.0473769831413,0.341033474082,0.331049948887,0.327916577031
0.0158489319246,0.158489319246,1,0.7,2.32257512136,274.293013666,4430.57791105,0.0614170633608,0.061909082556,0.345960717354,0.328584156994,0.325455125652
0.0158489319246,0.158489319246,1.58489319246,0.7,3.1788219961,375.414623708,4583.39562023,0.0812703455119,0.08190753206,0.353341640392,0.324889868107,0.321768491501
