alpha,R3,R3^3,s,t_boundary,margin_simplex_inside,margin_direct_eig_inside,margin_simplex_outside,margin_direct_eig_outside
0.8,4.5743291902175045,95.71549414674152,44.0291273075011,51.68636683924034,4.1098622727275824e-08,4.109862294932043e-08,-4.1098592973298764e-08,-4.1098592529209554e-08
0.8,4.5743291902175045,95.71549414674152,47.85774707337076,47.8577470733701,3.805427950531737e-08,3.805427972736197e-08,-3.805425308200938e-08,-3.805425241587557e-08
0.8,4.5743291902175045,95.71549414674152,51.68636683924042,44.02912730749981,3.500993672744812e-08,3.500993761562654e-08,-3.5009913412764604e-08,-3.5009913412764604e-08
0.8,4.5743291902175045,95.71549414674152,55.51498660511009,40.20050754162957,3.1965593949578874e-08,3.19655950598019e-08,-3.196557352147522e-08,-3.1965572411252197e-08
0.8,4.5743291902175045,95.71549414674152,59.34360637097974,36.37188777575931,2.8921251393754233e-08,2.8921251837843442e-08,-2.892123318609663e-08,-2.8921232964052024e-08
0.8,4.5743291902175045,95.71549414674152,63.1722261368494,32.54326800989312,2.5876905951349727e-08,2.587690661748354e-08,-2.5876896403431715e-08,-2.5876895959342505e-08
0.8,4.5743291902175045,95.71549414674152,67.00084590271906,28.714648244022854,2.2832563839614295e-08,2.2832564283703505e-08,-2.2832555846008518e-08,-2.2832554957830098e-08
0.8,4.5743291902175045,95.71549414674152,70.82946566858872,24.88602847815261,1.9788221727878863e-08,1.9788222838101888e-08,-1.978821528858532e-08,-1.9788214622451505e-08
0.8,4.5743291902175045,95.71549414674152,74.65808543445839,21.057408712282346,1.6743879838188036e-08,1.674388094841106e-08,-1.6743874509117518e-08,-1.6743874065028308e-08
0.8,4.5743291902175045,95.71549414674152,78.48670520032805,17.228788946412088,1.3699538170541814e-08,1.3699539058720234e-08,-1.369953350760511e-08,-1.3699532619426691e-08
0.8,4.5743291902175045,95.71549414674152,82.31532496619771,13.400169180541825,1.0655196724940197e-08,1.0655197613118617e-08,-1.0655192728137308e-08,-1.0655191839958889e-08
0.8,4.5743291902175045,95.71549414674152,86.14394473206737,9.57154941467157,7.61085527933858e-09,7.610855501383185e-09,-7.610851060491086e-09,-7.610850172312666e-09
0.8,4.5743291902175045,95.71549414674152,89.97256449793703,5.742929648805389,4.566510725112494e-09,4.566511613290913e-09,-4.566512945558543e-09,-4.566512501469333e-09
0.8,4.5743291902175045,95.71549414674152,93.80118426380669,1.9143098829351295,1.5221697236000864e-09,1.5221703897339012e-09,-1.5221712779123209e-09,-1.522170611778506e-09
0.8,4.5743291902175045,95.71549414674152,95.23691667600781,0.47857747073123197,3.8054426276801223e-10,3.8054448481261716e-10,-3.805413761881482e-10,-3.805404880097285e-10
0.75,7.078116022520105,354.6116763557116,0.0,354.611676355699,4.641532802551751e-08,4.641533024596356e-08,-4.641526407667129e-08,-4.641526230031445e-08
0.75,7.078116022520105,354.6116763557116,7.0922335271142325,347.51944282859125,4.5487021260726124e-08,4.548702192685994e-08,-4.5486959532325955e-08,-4.548695886619214e-08
