alpha,b,g=1-b,W_alpha,W_over_T1
0.7,3.54813389234,-2.54813389234,7006.40793924,219.408228283
0.7,3.75837404288,-2.75837404288,7179.52054822,212.252558222
0.7,3.98107170553,-2.98107170553,7363.21644393,205.506260864
0.7,4.21696503429,-3.21696503429,7558.17450519,199.147292049
0.7,4.46683592151,-3.46683592151,7765.12087948,193.154891738
0.7,4.73151258961,-3.73151258961,7984.83260675,187.509513326
0.7,5.01187233627,-4.01187233627,8218.14154,182.192756821
0.7,5.30884444231,-4.30884444231,8465.93858711,177.187305681
0.7,5.6234132519,-4.6234132519,8729.17830082,172.476867099
0.7,5.95662143529,-4.95662143529,9008.88384571,168.046115544
0.7,6.3095734448,-5.3095734448,9306.1523736,163.880639388
0.7,6.68343917569,-5.68343917569,9622.16084131,159.966890438
0.7,7.07945784384,-6.07945784384,9958.17230789,156.29213623
0.7,7.49894209332,-6.49894209332,10315.5427512,152.844414924
0.7,7.94328234724,-6.94328234724,10695.7284475,149.612492669
0.7,8.41395141645,-7.41395141645,11100.2939611,146.585823311
0.7,8.91250938134,-7.91250938134,11530.9207955,143.754510308
0.7,9.44060876286,-8.44060876286,11989.416762,141.109270754
0.7,10,-9,12477.7261253,138.641401393
0.7,10.5925372518,-9.59253725177,12997.9405936,136.342746519
0.7,11.220184543,-10.220184543,13552.3112229,134.205667681
0.7,11.8850222744,-10.8850222744,14143.2613144,132.223015077
0.7,12.5892541179,-11.5892541179,14773.4003893,130.388100579
0.7,13.3352143216,-12.3352143216,15445.5393321,128.69467228
0.7,14.1253754462,-13.1253754462,16162.7068039,127.136890512
0.7,14.9623565609,-13.9623565609,16928.1670321,125.709305239
0.7,15.8489319246,-14.8489319246,17745.4390968,124.406834768
0.7,16.7880401812,-15.7880401812,18618.3178406,123.224745709
0.7,17.7827941004,-16.7827941004,19550.8965433,122.15863412
0.7,18.8364908949,-17.8364908949,20547.5915108,121.204407772
0.7,19.9526231497,-18.9526231497,21613.1687469,120.358269491
0.7,21.1348903984,-20.1348903984,22752.7728845,119.616701502
0.7,22.3872113857,-21.3872113857,23971.9585738,118.97645074
0.7,23.7137370566,-22.7137370566,25276.7245394,118.434515071
0.7,25.1188643151,-24.1188643151,26673.5505383,117.988130371
0.7,26.607250598,-25.607250598,28169.4374696,117.634758431
0.7,28.1838293126,-27.1838293126,29771.9509106,117.37207563
0.7,29.8538261892,-28.8538261892,31489.2683773,117.197962342
0.7,31.6227766017,-30.6227766017,33330.2306334,117.110493045
0.7,33.4965439158,-32.4965439158,35304.3973998,117.107927077
0.7,35.4813389234,-34.4813389234,37422.1078509,117.188700021
0.7,37.5837404288,-36.5837404288,39694.5463122,117.351415678
0.7,39.8107170553,-38.8107170553,42133.8136175,117.594838593
0.7,42.1696503429,-41.1696503429,44753.0046173,117.91788711
0.7,44.6683592151,-43.6683592151,47566.2923792,118.319626925
0.7,47.3151258961,-46.3151258961,50589.0196662,118.799265112
0.7,50.1187233627,-49.1187233627,53837.7983289,119.356144585
0.7,53.0884444231,-52.0884444231,57330.6173098,119.989738995
0.7,56.234132519,-55.234132519,61086.9600123,120.699648013
0.7,59.5662143529,-58.5662143529,65127.9318587,121.485592996
0.7,63.095734448,-62.095734448,69476.3989341,122.347413008
0.7,66.8343917569,-65.8343917569,74157.1386896,123.285061179
0.7,70.7945784384,-69.7945784384,79197.0037682,124.298601382
0.7,74.9894209332,-73.9894209332,84625.1001089,125.388205216
0.7,79.4328234724,-78.4328234724,90472.9805877,126.55414927
0.7,84.1395141645,-83.1395141645,96774.8555663,127.796812667
0.7,89.1250938134,-88.1250938134,103567.821841,129.116674864
0.7,94.4060876286,-93.4060876286,110892.111615,130.514313691
0.7,100,-99,118791.363271,131.990403634
0.7,105.925372518,-104.925372518,127312.915854,133.545714338
0.7,112.20184543,-111.20184543,136508.129389,135.181109312
0.7,118.850222744,-117.850222744,146432.733288,136.897544852
0.7,125.892541179,-124.892541179,157147.205369,138.696069147
0.7,133.352143216,-132.352143216,168717.18416,140.577821574
0.7,141.253754462,-140.253754462,181213.917481,142.54403217
0.7,149.623565609,-148.623565609,194714.75048,144.596021271
0.7,158.489319246,-157.489319246,209303.656654,146.735199325
0.7,167.880401812,-166.880401812,225071.815659,148.963066848
0.7,177.827941004,-176.827941004,242118.242061,151.281214548
0.7,188.364908949,-187.364908949,260550.469559,153.691323584
0.7,199.526231497,-198.526231497,280485.295606,156.195165976
0.7,211.348903984,-210.348903984,302049.591807,158.794605147
0.7,223.872113857,-222.872113857,325381.18593,161.491596611
0.7,237.137370566,-236.137370566,350629.821917,164.288188778
0.7,251.188643151,-250.188643151,377958.204828,167.186523902
0.7,266.07250598,-265.07250598,407543.138287,170.188839144
0.7,281.838293126,-280.838293126,439576.762665,173.297467766
0.7,298.538261892,-297.538261892,474267.902986,176.514840447
0.7,316.227766017,-315.227766017,511843.536317,179.843486711
0.7,334.965439158,-333.965439158,552550.389324,183.286036485
0.7,354.813389234,-353.813389234,596656.677579,186.845221768
0.7,375.837404288,-374.837404288,644453.999278,190.523878419
