alpha,s,beta12=e^s,beta13=1,beta23=e^-s/2,x1,x2,x3,cain_x1,cain_x2,cain_x3,evidence
0.75,1.38,3.97490162749,1,0.501576069066,0.282771647911,0.306761803616,0.410466548473,0.191310810112,0.270128935401,0.538560254487,FLOAT
0.75,1.39,4.01485005299,1,0.499074447985,0.282344155223,0.306447453078,0.411208391699,0.190410065007,0.269530076004,0.540059858989,FLOAT
0.75,1.4,4.05519996684,1,0.496585303791,0.281915769705,0.306131351616,0.411952878679,0.189511714225,0.268929923735,0.541558362041,FLOAT
0.75,1.41,4.09595540407,1,0.494108574256,0.281486493493,0.305813501779,0.412700004728,0.188615766115,0.26832849626,0.543055737625,FLOAT
0.75,1.42,4.13712044025,1,0.491644197461,0.281056328787,0.305493906194,0.413449765019,0.187722228918,0.267725811262,0.54455195982,FLOAT
0.75,1.43,4.17869919192,1,0.489192111796,0.280625277855,0.305172567562,0.414202154583,0.18683111076,0.26712188644,0.5460470028,FLOAT
0.75,1.44,4.220695817,1,0.48675225596,0.280193343028,0.304849488659,0.414957168313,0.185942419656,0.266516739507,0.547540840837,FLOAT
0.75,1.45,4.26311451517,1,0.484324568955,0.279760526704,0.304524672336,0.41571480096,0.185056163506,0.265910388191,0.549033448303,FLOAT
0.75,1.46,4.30595952835,1,0.48190899009,0.279326831344,0.304198121518,0.416475047138,0.184172350098,0.26530285023,0.550524799672,FLOAT
0.75,1.47,4.34923514106,1,0.479505458975,0.278892259476,0.303869839206,0.417237901319,0.183290987106,0.264694143371,0.552014869523,FLOAT
0.75,1.48,4.39294568092,1,0.477113915521,0.278456813688,0.303539828473,0.418003357839,0.18241208209,0.264084285374,0.553503632536,FLOAT
0.75,1.49,4.437095519,1,0.47473429994,0.278020496636,0.303208092469,0.418771410895,0.181535642496,0.263473294004,0.5549910635,FLOAT
0.75,1.5,4.48168907034,1,0.472366552741,0.277583311037,0.302874634416,0.419542054546,0.180661675657,0.262861187031,0.556477137312,FLOAT
0.75,1.51,4.52673079431,1,0.470010614731,0.277145259671,0.302539457613,0.420315282716,0.179790188789,0.262247982234,0.557961828977,FLOAT
0.75,1.52,4.57222519514,1,0.46766642701,0.276706345382,0.30220256543,0.421091089189,0.178921188996,0.261633697392,0.559445113613,FLOAT
0.75,1.53,4.6181768223,1,0.465333930974,0.276266571074,0.301863961311,0.421869467615,0.178054683265,0.261018350287,0.560926966449,FLOAT
0.75,1.54,4.66459027099,1,0.463013068311,0.275825939714,0.301523648776,0.42265041151,0.177190678469,0.260401958704,0.562407362828,FLOAT
0.75,1.55,4.71147018259,1,0.460703780999,0.275384454331,0.301181631416,0.423433914253,0.176329181366,0.259784540424,0.563886278209,FLOAT
0.75,1.56,4.75882124514,1,0.458406011305,0.274942118015,0.300837912896,0.424219969089,0.1754701986,0.259166113231,0.56536368817,FLOAT
0.75,1.57,4.80664819378,1,0.456119701786,0.274498933915,0.300492496955,0.42500856913,0.174613736696,0.2585466949,0.566839568403,FLOAT
0.75,1.58,4.85495581124,1,0.453844795282,0.274054905242,0.300145387403,0.425799707355,0.173759802068,0.257926303207,0.568313894725,FLOAT
0.75,1.59,4.90374892833,1,0.451581234923,0.273610035267,0.299796588125,0.426593376608,0.172908401011,0.25730495592,0.569786643069,FLOAT
0.75,1.6,4.9530324244,1,0.449328964117,0.273164327318,0.299446103076,0.427389569606,0.172059539706,0.256682670798,0.571257789496,FLOAT
0.75,1.61,5.00281122783,1,0.447087926559,0.272717784784,0.299093936285,0.42818827893,0.171213224218,0.256059465595,0.572727310187,FLOAT
0.75,1.62,5.05309031656,1,0.444858066223,0.272270411113,0.298740091853,0.428989497034,0.170369460496,0.255435358054,0.57419518145,FLOAT
0.75,1.63,5.10387471854,1,0.442639327361,0.27182220981,0.298384573951,0.429793216239,0.169528254373,0.254810365907,0.57566137972,FLOAT
0.75,1.64,5.15516951223,1,0.440431654506,0.271373184437,0.298027386824,0.430599428739,0.168689611567,0.254184506873,0.577125881559,FLOAT
0.75,1.65,5.20697982718,1,0.438234992465,0.270923338615,0.297668534786,0.431408126599,0.16785353768,0.253557798659,0.57858866366,FLOAT
0.75,1.66,5.25931084445,1,0.436049286322,0.270472676021,0.297308022224,0.432219301756,0.167020038198,0.252930258957,0.580049702845,FLOAT
0.75,1.67,5.31216779718,1,0.433874481433,0.270021200387,0.296945853594,0.433032946019,0.166189118491,0.25230190544,0.581508976069,FLOAT
0.75,1.68,5.36555597112,1,0.431710523429,0.269568915503,0.296582033424,0.433849051073,0.165360783812,0.251672755769,0.582966460419,FLOAT
0.75,1.69,5.41948070513,1,0.429557358211,0.269115825214,0.296216566311,0.434667608475,0.164535039301,0.251042827582,0.584422133117,FLOAT
0.75,1.7,5.47394739173,1,0.427414931949,0.268661933418,0.295849456924,0.435488609658,0.16371188998,0.250412138498,0.585875971522,FLOAT
0.75,1.71,5.52896147762,1,0.425283191082,0.268207244071,0.295480709999,0.436312045931,0.162891340756,0.249780706117,0.587327953126,FLOAT
0.75,1.72,5.58452846428,1,0.423162082318,0.267751761179,0.295110330342,0.437137908479,0.162073396421,0.249148548015,0.588778055564,FLOAT
0.75,1.73,5.64065390843,1,0.421051552627,0.267295488805,0.294738322831,0.437966188364,0.161258061651,0.248515681745,0.590226256605,FLOAT
0.75,1.74,5.69734342267,1,0.418951549248,0.266838431062,0.294364692408,0.438796876529,0.160445341005,0.247882124834,0.591672534161,FLOAT
0.75,1.75,5.75460267601,1,0.416862019679,0.266380592119,0.293989444088,0.439629963793,0.15963523893,0.247247894785,0.593116866285,FLOAT
0.75,1.76,5.8124373944,1,0.414782911682,0.265921976194,0.293612582951,0.440465440855,0.158827759756,0.246613009073,0.594559231172,FLOAT
0.75,1.77,5.87085336138,1,0.412714173279,0.265462587558,0.293234114146,0.441303298296,0.158022907696,0.245977485144,0.59599960716,FLOAT
